City ->;Kiruna;;;Kiruna;;;Kiruna;;
2013/02/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/03/31;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/31;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/07/31;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/08/31;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/09/27;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/09/28;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/09/29;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/09/30;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/01;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/02;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/03;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/04;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/05;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/06;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/07;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/08;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/09;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/10;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/11;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/12;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/13;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/14;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/15;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/16;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/17;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/18;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/19;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/20;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/21;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/22;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/23;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/24;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/25;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/26;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/27;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/28;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/29;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/30;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/10/31;9;11;Sunny;1;3;Fair;-11;-6;Fair
2013/11/01;9;12;Light Rain;-2;4;Fair;-13;-9;Mostly Cloudy
2013/11/02;6;10;Mostly Cloudy;-2;1;Fog;-11;-3;Cloudy
2013/11/03;7;11;Partly Cloudy/Windy;-4;2;Cloudy;-6;-3;Cloudy
2013/11/04;6;8;Light Rain;1;4;Cloudy;-5;-1;Snow
2013/11/05;4;12;Cloudy;0;4;Cloudy;-14;-4;Fair
2013/11/06;2;8;Mostly Cloudy;1;3;Mostly Cloudy;-12;-4;Mostly Cloudy
2013/11/07;3;9;Partly Cloudy;-1;1;Partly Cloudy;-7;-4;Cloudy
2013/11/08;6;11;Partly Cloudy;-2;1;Fair;n/a;n/a;n/a
2013/11/09;6;10;Mostly Cloudy/Windy;-2;3;n/a;n/a;n/a;n/a
2013/11/10;4;7;Cloudy;-2;2;Fair;n/a;n/a;n/a
2013/11/11;3;8;Mostly Cloudy;-2;2;Fair;n/a;n/a;n/a
2013/11/12;6;8;Mostly Cloudy;2;5;Fair;n/a;n/a;n/a
2013/11/13;6;9;Partly Cloudy;1;4;Partly Cloudy;n/a;n/a;n/a
2013/11/14;3;9;Cloudy;-1;2;Fair;n/a;n/a;n/a
2013/11/15;2;8;Light Rain;-2;7;Light Drizzle;n/a;n/a;n/a
2013/11/16;8;11;Light Rain;4;11;Partly Cloudy;n/a;n/a;n/a
2013/11/17;0;11;Sunny;1;4;Fair;n/a;n/a;n/a
2013/11/18;0;7;Mostly Cloudy;1;4;Fair;n/a;n/a;n/a
2013/11/19;5;8;Light Rain;-2;3;Fair;n/a;n/a;n/a
2013/11/20;2;5;Partly Cloudy;-6;-2;Fair;n/a;n/a;n/a
2013/11/21;2;5;Mostly Cloudy;-10;-5;Partly Cloudy;n/a;n/a;n/a
2013/11/22;3;6;Mostly Cloudy;-10;1;Mostly Cloudy;n/a;n/a;n/a
2013/11/23;3;7;Partly Cloudy;-3;3;Partly Cloudy;n/a;n/a;n/a
2013/11/24;0;7;Sunny;-4;1;Mostly Cloudy;n/a;n/a;n/a
2013/11/25;-2;3;Sunny;-3;1;Fair;n/a;n/a;n/a
2013/11/26;-4;4;Sunny;0;6;Mostly Cloudy;n/a;n/a;n/a
